8415|Niketa Calame-Harris
8417|Rob Minkoff
8418|Jonathan Roberts
8426|Tom Sito
8428|Mark Kausler
8436|Andrew Gaskill
8437|Kevin Harkey
8443|Duane Howard
8444|Arthur Redcloud
8445|Melaw Nakehk'o
8446|Grace Dove
8460|Frank Schorpion
8479|Joséphine de Meaux
8483|Salimata Kamate
8484|Absa Diatou Toure
8486|Olivier Nakache
8536|Anthony McCarten
8545|Samantha Mahurin
8580|Nathalie Baye
8584|Frank John Hughes
8585|Steve Eastin
8596|Joanna Numata
8597|Samuel Glen
8609|Suanne Spoke
8616|Orto Ignatiussen
8621|Jonás Cuarón
8632|Thomas Jay Ryan
8637|Pierre Bismuth
8675|Mark Heyman
8676|Andres Heinz
8696|Gabe Gomez
8699|May Lindstrom
8724|Carla Juri
8738|Joe Turkel
8741|David Webb Peoples
8778|Catherine Hardwicke
8785|Claire Selby
8786|Symara A. Templeman
8789|Elina Alminas
8818|Nicoletta Braschi
8820|Giustino Durano
8821|Sergio Bini Bustric
8824|Lidia Alfonsi
8826|Amerigo Fontani
8835|Gautam Belur
8838|Ayaan Khan
8839|Mohd Abbas Khaleeli
8840|Vibish Sivakumar
8850|Lee Strasberg
8852|G.D. Spradlin
8878|Vik Sahay
8880|Rachel Majorowski
8905|Jeremy Shamos
8918|Kaden Leos
8933|Richard Kelly
8943|Frank Adu
8944|Victor Argo
8954|Samantha Spiro
8958|Scott Neustadter
8959|Jojo Moyes
8960|Michael H. Weber
8972|Aaron Sorkin
8997|Alan Ball
9007|David Marshall Grant
9008|David Frankel
9018|Zoë Soul
9019|Erin Gerasimovich
9040|Esther Garrel
9042|Vanda Capriolo
9043|Antonio Rimoldi
9044|Elena Bucci
9047|James Ivory
9055|Joe Cortese
9056|Mary Agnes Nixon
9083|Paul Herman
9084|David O. Russell
9095|Starletta DuPois
9102|Jennifer Lien
9110|David McKenna
9165|Lari White
9167|David Allen Brooks
9168|Semion Sudarikov
9169|Peter Von Berg
9205|Kent Shocknek
9206|Sharon Tay
9217|Ana Dela Cruz
9218|Randy Kovitz
9219|Toni Saladna
9224|Christopher Carley
9225|Bee Vang
9228|Geraldine Hughes
9235|Dave Johannson
9250|Sergi López
9254|Álex Angulo
9257|César Vea
9268|Ed O'Ross
9274|Gustav Hasford
9279|William Redfield
9283|Dean R. Brooks
9290|Graham Norton
9295|Donnell Rawlings
9296|Questlove
9321|Mahesh Manjrekar
9349|Tom Prior
9350|Sophie Perry
9360|Anthony Rapp
9374|Charles Walker
9384|Marcia Jean Kurtz
9387|Joanne Gordon
9389|Hubert Selby Jr.
9411|Shahadi Wright Joseph
9412|Penny Johnson Jerald
9426|Susanne Bier
9461|Milo Parker
9473|Saniyya Sidney
9475|Allison Schroeder
9485|Eileen Nicholas
9488|John Hodge
9506|Lucia Rijker
9513|F.X. Toole
9536|Michael Gracey
9537|Jenny Bicks
9543|Maureen Lipman
9547|Jessica Kate Meyer
9548|Michał Żebrowski
9549|Wanja Mues
9558|Leslie Stefanson
9592|Sean Bridgers
